key,value
SDGS.4.TARGETS.1.INDICATORS.1.VALUES.2.TITLE,Número total de población de entre 16 y 21 años
SDGS.4.TARGETS.1.INDICATORS.1.VALUES.2.UNIT,personas
SDGS.4.TARGETS.1.INDICATORS.1.SOURCE,"- [Alumnos matriculados por enseñanza y unidades de los centros docentes](https://analisi.transparenciacatalunya.cat/Educaci-/Alumnes-matriculats-per-ensenyament-i-unitats-dels/xvme-26kg/about_data) (Dades Obertes de Catalunya)
- [Población. Por sexo y edad año a año (2011–)](https://www.idescat.cat/pub/?id=censph&n=10&hist=taules%2Fv2%2Fcensph%2F10%2F5975%2Fmun%2Fdata%3FAGE%3DTOTAL%26_LAST_%3D3%5Ec%3D3%2Fr%3D1%2Ft%3D-1c%3B0d%2C2%3B2%2C0%3B-3c%2Fe%3D0) (IDESCAT)"
SDGS.4.TARGETS.1.INDICATORS.2.TITLE,Tasa de graducación ESO
SDGS.4.TARGETS.1.INDICATORS.2.DESCRIPTION,Graduados de educación secundaria obligatoria del municipio respecto al total de matriculados en 4º de ESO.
SDGS.4.TARGETS.1.INDICATORS.2.UNIT,%
SDGS.4.TARGETS.1.INDICATORS.2.VALUES.1.TITLE,Número total de alumnos de 4º de ESO que promocionan
SDGS.4.TARGETS.1.INDICATORS.2.VALUES.1.UNIT,alumnos
SDGS.4.TARGETS.1.INDICATORS.2.VALUES.2.TITLE,Número total de alumnos de 4º de ESO
SDGS.4.TARGETS.1.INDICATORS.2.VALUES.2.UNIT,alumnos
SDGS.4.TARGETS.1.INDICATORS.2.SOURCE,- [Estadística de la enseñanza. Educación secundaria obligatoria.](https://educacio.gencat.cat/ca/departament/estadistiques/estadistiques-ensenyament/curs-actual/eso/) (Departament d'Educació i Formació Professional de la Generalitat de Catalunya)
SDGS.4.TARGETS.2.DESCRIPTION,Vetllar perquè tots els infants de 0 a 3 anys tinguin accés a serveis d’atenció i desenvolupament i a un ensenyament qualitat.
SDGS.4.TARGETS.2.INDICATORS.1.TITLE,Tasa de educación infantil de primer ciclo
SDGS.4.TARGETS.2.INDICATORS.1.DESCRIPTION,"Porcentaje de niños y niñas de 0 a 2 años que están escolarizados en educación infantil de primer ciclo en el municipio (datos globales y por sector de titularidad: público corporaciones locales, público Dpt. Educación, privado)."
SDGS.4.TARGETS.2.INDICATORS.1.UNIT,%
SDGS.4.TARGETS.2.INDICATORS.1.VALUES.1.TITLE,Número total de alumnos matriculados en primer ciclo de educación infantil
SDGS.4.TARGETS.2.INDICATORS.1.VALUES.1.UNIT,personas
SDGS.4.TARGETS.2.INDICATORS.1.VALUES.2.TITLE,Número total de población de entre 0 y 2 años
SDGS.4.TARGETS.2.INDICATORS.1.VALUES.2.UNIT,personas
SDGS.4.TARGETS.2.INDICATORS.1.SOURCE,"- [Alumnos matriculados por enseñanza y unidades de los centros docentes](https://analisi.transparenciacatalunya.cat/Educaci-/Alumnes-matriculats-per-ensenyament-i-unitats-dels/xvme-26kg/about_data) (Dades Obertes de Catalunya)
- [Población. Por sexo y edad año a año (2011–)](https://www.idescat.cat/pub/?id=censph&n=10&hist=taules%2Fv2%2Fcensph%2F10%2F5975%2Fmun%2Fdata%3FAGE%3DTOTAL%26_LAST_%3D3%5Ec%3D3%2Fr%3D1%2Ft%3D-1c%3B0d%2C2%3B2%2C0%3B-3c%2Fe%3D0) (IDESCAT)"
SDGS.4.TARGETS.3.DESCRIPTION,Nombre d ehito no disponible
SDGS.4.TARGETS.4.DESCRIPTION,"Aumentar sustancialmente el número de jóvenes y personas adultas para que tengan las competencias necesarias para acceder al mercado laboral, a un empleo digno y al emprendimiento, en condiciones de igualdad."
SDGS.4.TARGETS.4.INDICATORS.1.TITLE,Formación (Educación primaria o inferior)
SDGS.4.TARGETS.4.INDICATORS.1.DESCRIPTION,Nivel de formación alcanzado (Educación primaria o inferior)
SDGS.4.TARGETS.4.INDICATORS.1.UNIT,%
SDGS.4.TARGETS.4.INDICATORS.1.VALUES.1.TITLE,Población de 15 años o más con educación primaria o inferior
SDGS.4.TARGETS.4.INDICATORS.1.VALUES.1.UNIT,personas
SDGS.4.TARGETS.4.INDICATORS.1.VALUES.2.TITLE,Total de población de 15 años o más
SDGS.4.TARGETS.4.INDICATORS.1.VALUES.2.UNIT,personas
SDGS.4.TARGETS.4.INDICATORS.1.SUBINDICATORS.0.TITLE,Educació primaria o inferior
SDGS.4.TARGETS.4.INDICATORS.1.SUBINDICATORS.0.VALUES.1.TITLE,Población de 15 años o más con educación primaria o inferior
SDGS.4.TARGETS.4.INDICATORS.1.SUBINDICATORS.0.VALUES.1.UNIT,personas
SDGS.4.TARGETS.4.INDICATORS.1.SUBINDICATORS.0.VALUES.2.TITLE,Total de población de 15 años o más
SDGS.4.TARGETS.4.INDICATORS.1.SUBINDICATORS.0.VALUES.2.UNIT,personas
SDGS.4.TARGETS.4.INDICATORS.1.SUBINDICATORS.2.TITLE,Primera etapa de educación secundaria o similar
SDGS.4.TARGETS.4.INDICATORS.1.SUBINDICATORS.2.VALUES.1.TITLE,Población de 15 años o más con primera etapa de educación secundaria o similar
SDGS.4.TARGETS.4.INDICATORS.1.SUBINDICATORS.2.VALUES.1.UNIT,personas
SDGS.4.TARGETS.4.INDICATORS.1.SUBINDICATORS.2.VALUES.2.TITLE,Total de población de 15 años o más
SDGS.4.TARGETS.4.INDICATORS.1.SUBINDICATORS.2.VALUES.2.UNIT,personas
SDGS.4.TARGETS.4.INDICATORS.1.SUBINDICATORS.3.TITLE,Segunda etapa de educación secundaria o similar
SDGS.4.TARGETS.4.INDICATORS.1.SUBINDICATORS.3.VALUES.1.TITLE,Población de 15 años o más con segunda etapa de educación secundaria o similar
SDGS.4.TARGETS.4.INDICATORS.1.SUBINDICATORS.3.VALUES.1.UNIT,personas
SDGS.4.TARGETS.4.INDICATORS.1.SUBINDICATORS.3.VALUES.2.TITLE,Total de población de 15 años o más
SDGS.4.TARGETS.4.INDICATORS.1.SUBINDICATORS.3.VALUES.2.UNIT,personas
SDGS.4.TARGETS.4.INDICATORS.1.SUBINDICATORS.4.TITLE,Educación superior
SDGS.4.TARGETS.4.INDICATORS.1.SUBINDICATORS.4.VALUES.1.TITLE,Población de 15 años o más con educación superior
SDGS.4.TARGETS.4.INDICATORS.1.SUBINDICATORS.4.VALUES.1.UNIT,personas
SDGS.4.TARGETS.4.INDICATORS.1.SUBINDICATORS.4.VALUES.2.TITLE,Total de población de 15 años o más
SDGS.4.TARGETS.4.INDICATORS.1.SUBINDICATORS.4.VALUES.2.UNIT,personas
SDGS.4.TARGETS.4.INDICATORS.1.SOURCE,- [Población. Por nivel de formación alcanzado](https://www.idescat.cat/pub/?id=censph&n=7104&hist=taules%2Fv2%2Fcensph%2F7104%2F20170%2Fmun%2Fdata%5Ec%3D2%2Fr%3D1%2Ft%3D-1c%3B-0d%2C0%3B-2c%2Fe%3D0) (IDESCAT)
SDGS.4.TARGETS.4.INDICATORS.2.TITLE,Formación (primera etapa de educación secundaria)
SDGS.4.TARGETS.4.INDICATORS.2.DESCRIPTION,Nivel de formación alcanzado (primera etapa de educación secundaria)
SDGS.4.TARGETS.4.INDICATORS.2.UNIT,%
SDGS.4.TARGETS.4.INDICATORS.2.VALUES.1.TITLE,Población de 15 años o más con primera etapa de educación secundaria o similar
SDGS.4.TARGETS.4.INDICATORS.2.VALUES.1.UNIT,personas
SDGS.4.TARGETS.4.INDICATORS.2.VALUES.2.TITLE,Total de población de 15 años o más
SDGS.4.TARGETS.4.INDICATORS.2.VALUES.2.UNIT,personas
SDGS.4.TARGETS.4.INDICATORS.2.SOURCE,- [Población. Por nivel de formación alcanzado (https://www.idescat.cat/pub/?id=censph&n=7104&hist=taules%2Fv2%2Fcensph%2F7104%2F20170%2Fmun%2Fdata%5Ec%3D2%2Fr%3D1%2Ft%3D-1c%3B-0d%2C0%3B-2c%2Fe%3D0) (IDESCAT)
SDGS.4.TARGETS.4.INDICATORS.3.TITLE,Formación (segunda etapa de educación secundaria)
SDGS.4.TARGETS.4.INDICATORS.3.DESCRIPTION,Nivel de formación alcanzado (segunda etapa de educación secundaria)
SDGS.4.TARGETS.4.INDICATORS.3.UNIT,%
SDGS.4.TARGETS.4.INDICATORS.3.VALUES.1.TITLE,Población de 15 años o más con primera etapa de eduación secundaria y similar
SDGS.4.TARGETS.4.INDICATORS.3.VALUES.1.UNIT,personas
SDGS.4.TARGETS.4.INDICATORS.3.VALUES.2.TITLE,Total de población de 15 años o más
SDGS.4.TARGETS.4.INDICATORS.3.VALUES.2.UNIT,personas
SDGS.4.TARGETS.4.INDICATORS.3.SOURCE,- [Población. Por nivel de formación alcanzado](https://www.idescat.cat/pub/?id=censph&n=7104&hist=taules%2Fv2%2Fcensph%2F7104%2F20170%2Fmun%2Fdata%5Ec%3D2%2Fr%3D1%2Ft%3D-1c%3B-0d%2C0%3B-2c%2Fe%3D0) (IDESCAT)
SDGS.4.TARGETS.4.INDICATORS.4.TITLE,Formación (educación superior)
SDGS.4.TARGETS.4.INDICATORS.4.DESCRIPTION,Nivel de formación alcanzado (Educación superior)
SDGS.4.TARGETS.4.INDICATORS.4.UNIT,%
SDGS.4.TARGETS.4.INDICATORS.4.VALUES.1.TITLE,Población de 15 años o más con educación superior
SDGS.4.TARGETS.4.INDICATORS.4.VALUES.1.UNIT,personas
SDGS.4.TARGETS.4.INDICATORS.4.VALUES.2.TITLE,Total de población de 15 años o más
SDGS.4.TARGETS.4.INDICATORS.4.VALUES.2.UNIT,personas
SDGS.4.TARGETS.4.INDICATORS.4.SOURCE,- [Población. Por nivel de formación alcanzado](https://www.idescat.cat/pub/?id=censph&n=7104&hist=taules%2Fv2%2Fcensph%2F7104%2F20170%2Fmun%2Fdata%5Ec%3D2%2Fr%3D1%2Ft%3D-1c%3B-0d%2C0%3B-2c%2Fe%3D0) (IDESCAT)
SDGS.4.TARGETS.5.DESCRIPTION,"Eliminar las disparidades de género en la educación y garantizar la equidad en el acceso, las condiciones y los resultados para todos los colectivos en situación de vulnerabilidad"
SDGS.4.TARGETS.5.INDICATORS.1.TITLE,Índice de paridad en actividades educativas
SDGS.4.TARGETS.5.INDICATORS.1.DESCRIPTION,Índice de paridad entre mujeres y hombres de la población de más de 15 años que han realizado actividades educativas en los últimos 12 meses.
SDGS.4.TARGETS.5.INDICATORS.1.UNIT,
SDGS.4.TARGETS.5.INDICATORS.1.VALUES.1.TITLE,Mujeres que estudian
SDGS.4.TARGETS.5.INDICATORS.1.VALUES.1.UNIT,mujeres
SDGS.4.TARGETS.5.INDICATORS.1.VALUES.2.TITLE,Hombres que estudian
SDGS.4.TARGETS.5.INDICATORS.1.VALUES.2.UNIT,hombres
SDGS.4.TARGETS.5.INDICATORS.1.SOURCE,- [Población de 15 años o más. Por el nivel más alto de los estudios en curso y sexo](https://www.idescat.cat/pub/?id=censph&n=16690&hist=taules%2Fv2%2Fcensph%2F16690%2F20161%2Fmun%2Fdata%3FEDU_LEV_CS%3DTOTAL%5Ec%3D2%2Fr%3D1%2Ft%3D-1c%3B-0d%2C0%3B-2c%3B3%2C0%2Fe%3D01) (IDESCAT)
SDGS.4.TARGETS.7.DESCRIPTION,Garantizar que todo el alumnado adquiera los conocimientos teóricos y prácticos necesarios para promover el desarrollo sostenible.
SDGS.4.TARGETS.a.DESCRIPTION,"Garantizar que los equipamientos educativos respondan a las necesidades de la infancia y las personas con discapacidad y tengan en cuenta las cuestiones de género, ofreciendo entornos de aprendizaje seguros, no violentos, inclusivos y eficaces."
SDGS.4.TARGETS.a.INDICATORS.1.TITLE,Tasa de alumnos por profesor
SDGS.4.TARGETS.a.INDICATORS.1.DESCRIPTION,Tasa de alumnos por profesor
SDGS.4.TARGETS.a.INDICATORS.1.UNIT,alumn./prof.
SDGS.4.TARGETS.a.INDICATORS.1.VALUES.1.TITLE,Alumnos en centros públicos *
SDGS.4.TARGETS.a.INDICATORS.1.VALUES.1.UNIT,alumnos
SDGS.4.TARGETS.a.INDICATORS.1.VALUES.2.TITLE,Profesorado en centros públicos *
SDGS.4.TARGETS.a.INDICATORS.1.VALUES.2.UNIT,professor/as
SDGS.4.TARGETS.a.INDICATORS.1.SOURCE,"- [Alumnos matriculados por enseñanza y unidades de los centros docentes](https://analisi.transparenciacatalunya.cat/Educaci-/Alumnes-matriculats-per-ensenyament-i-unitats-dels/xvme-26kg/about_data) (Dades Obertes de Catalunya)
- [Personal docente en centros públicos titularidad del Departamento de Educación](https://analisi.transparenciacatalunya.cat/Educaci-/Personal-docent-en-centres-p-blics-titularitat-del/2ip7-jdgh/about_data) (Dades Obertes de Catalunya)"
SDGS.5.TITLE,Igualdad de género
SDGS.5.DESCRIPTION,Lograr la igualdad entre los géneros y empoderar a todas las mujeres y niñas.
SDGS.5.TARGETS.1.DESCRIPTION,Poner fin a todas las formas de discriminación de género.
SDGS.5.TARGETS.1.INDICATORS.1.TITLE,Diferencia de paro en mujeres vs hombres
SDGS.5.TARGETS.1.INDICATORS.1.DESCRIPTION,Tasa de paro mujeres - Tasa de paro hombres
SDGS.5.TARGETS.1.INDICATORS.1.UNIT,p.p.
SDGS.5.TARGETS.1.INDICATORS.1.VALUES.1.TITLE,Tasa de paro (mujeres)
SDGS.5.TARGETS.1.INDICATORS.1.VALUES.1.UNIT,%
SDGS.5.TARGETS.1.INDICATORS.1.VALUES.2.TITLE,Tasa de paro (hombres)
SDGS.5.TARGETS.1.INDICATORS.1.VALUES.2.UNIT,%
SDGS.5.TARGETS.1.INDICATORS.1.SOURCE,"- [Paro registrado. Por sexo](https://www.idescat.cat/pub/?id=atureg&n=4299&geo=mun) (IDESCAT)
- [Afiliados a la Seguridad Social según residencia padronal del afiliado. Por sexo. A último día de mes ](https://www.idescat.cat/pub/?id=afi&n=8604&hist=taules%2Fv2%2Fafi%2F8604%2F8704%2Fmun%2Fdata%3F_LAST_%3D3%5Ec%3D2%2Fr%3D1%2Ft%3D-1c%3B0d%2C2%3B-2c) (IDESCAT)"
SDGS.5.TARGETS.2.DESCRIPTION,Erradicar todas las formas de violencia machista.
SDGS.5.TARGETS.4.DESCRIPTION,"Reconocer y valorar los cuidados no remunerados y el trabajo doméstico no remunerado, mediante la prestación de servicios públicos y promoviendo la responsabilidad compartida."
SDGS.5.TARGETS.5.DESCRIPTION,"Velar por la participación plena y efectiva de las mujeres, y por la igualdad de oportunidades de liderazgo en todos los ámbitos de toma de decisiones en la vida política, económica y pública."
SDGS.5.TARGETS.5.INDICATORS.1.TITLE,% Cargos electos mujeres
SDGS.5.TARGETS.5.INDICATORS.1.DESCRIPTION,Porcentaje de cargos electos del consistorio municipal ocupados por mujeres
SDGS.5.TARGETS.5.INDICATORS.1.UNIT,%
SDGS.5.TARGETS.5.INDICATORS.1.VALUES.1.TITLE,Cargos electos ocupados por mujeres
SDGS.5.TARGETS.5.INDICATORS.1.VALUES.1.UNIT,caragos
SDGS.5.TARGETS.5.INDICATORS.1.VALUES.2.TITLE,Cargos electos total
SDGS.5.TARGETS.5.INDICATORS.1.VALUES.2.UNIT,cargos
SDGS.5.TARGETS.5.INDICATORS.1.SOURCE,- [Cargos electos de la Provincia de Barcelona](https://do.diba.cat/api/dataset/electes/pag-fi/) (Diputació de Barcelona)
SDGS.5.TARGETS.c.DESCRIPTION,Reforzar las políticas y los planes de igualdad de género y de empoderamiento de mujeres y niñas.
SDGS.5.TARGETS.c.INDICATORS.1.TITLE,Tasa de paro en mujeres
SDGS.5.TARGETS.c.INDICATORS.1.DESCRIPTION,Tasa de paro en mujeres
SDGS.5.TARGETS.c.INDICATORS.1.UNIT,%
SDGS.5.TARGETS.c.INDICATORS.1.VALUES.1.TITLE,Promedio de paro anual registrado (Mujeres)
SDGS.5.TARGETS.c.INDICATORS.1.VALUES.1.UNIT,mujeres
SDGS.5.TARGETS.c.INDICATORS.1.VALUES.2.TITLE,Promedio anual de afiliados a la Seguretat Social (mujeres)
SDGS.5.TARGETS.c.INDICATORS.1.VALUES.2.UNIT,mujeres
SDGS.5.TARGETS.c.INDICATORS.1.SOURCE,"- [Paro registrado. Por sexo](https://www.idescat.cat/pub/?id=atureg&n=4299&geo=mun) (IDESCAT)
- [Afiliados a la Seguretat Social según residencia padronal del afiliado. Por sexo. A último día del mes](https://www.idescat.cat/pub/?id=afi&n=8604&hist=taules%2Fv2%2Fafi%2F8604%2F8704%2Fmun%2Fdata%3F_LAST_%3D3%5Ec%3D2%2Fr%3D1%2Ft%3D-1c%3B0d%2C2%3B-2c) (IDESCAT)"
SDGS.5.TARGETS.c.INDICATORS.2.TITLE,Tasa de empleo en mujeres
SDGS.5.TARGETS.c.INDICATORS.2.DESCRIPTION,Tasa de empleo en mujeres
SDGS.5.TARGETS.c.INDICATORS.2.UNIT,%
SDGS.5.TARGETS.c.INDICATORS.2.VALUES.1.TITLE,Promedio anual de afiliaciones a la Seguridad Social (mujeres)
SDGS.5.TARGETS.c.INDICATORS.2.VALUES.1.UNIT,mujeres
SDGS.5.TARGETS.c.INDICATORS.2.VALUES.2.TITLE,Población activa (mujeres)
SDGS.5.TARGETS.c.INDICATORS.2.VALUES.2.UNIT,mujeres
SDGS.5.TARGETS.c.INDICATORS.2.SOURCE,"- [Afiliados a la Seguridad Social según residencia padronal del afiliado. Por sexo. A últim día del mes](https://www.idescat.cat/pub/?id=afi&n=8604&hist=taules%2Fv2%2Fafi%2F8604%2F8704%2Fmun%2Fdata%3F_LAST_%3D3%5Ec%3D2%2Fr%3D1%2Ft%3D-1c%3B0d%2C2%3B-2c) (IDESCAT)
- [Población. Por sexo y edad en grandes grupos](https://www.idescat.cat/pub/?id=censph&n=540&hist=taules%2Fv2%2Fcensph%2F540%2F19948%2Fmun%2Fdata%3FSEX%3DF%26AGE%3DY016_064%2CTOTAL%26_LAST_%3D3%5Er%3D1%2Ft%3D-1c%3B0d%2C2%3B-2c%3B3%2C0%2Fe%3D1) (IDESCAT)"
SDGS.5.TARGETS.b.DESCRIPTION,Lograr la igualdad de género en el uso de las TIC.
SDGS.6.TITLE,Agua limpia y saneamiento
SDGS.6.DESCRIPTION,Garantizar la disponibilidad y la gestión sostenible del agua y el saneamiento para todas las personas.
SDGS.6.TARGETS.1.DESCRIPTION,"Garantizar el acceso universal y equitativo al agua potable, a un precio asequible, con especial atención a los colectivos más vulnerables."
SDGS.6.TARGETS.1.INDICATORS.1.TITLE,Precio del agua €/m³
SDGS.6.TARGETS.1.INDICATORS.1.DESCRIPTION,"Precio del agua (en € por m³) incluyendo el precio del suministro, el canon del agua y el alcantarillado"
SDGS.6.TARGETS.1.INDICATORS.1.UNIT,€/m³
SDGS.6.TARGETS.1.INDICATORS.1.VALUES.1.TITLE,Precio del agua
SDGS.6.TARGETS.1.INDICATORS.1.VALUES.1.UNIT,€/m³
SDGS.6.TARGETS.1.INDICATORS.1.VALUES.2.TITLE,
SDGS.6.TARGETS.1.INDICATORS.1.VALUES.2.UNIT,
SDGS.6.TARGETS.1.INDICATORS.1.SOURCE,- [Precio del agua por municipio vgente a 1 de enero](https://aca.gencat.cat/web/.content/10_ACA/L_Observatori_preu_aigua/03-Preu-per-municipis-i-evolucio/Preus_per_municipi_ca.xlsx) (Agència Catalana de l'Aigua)
SDGS.6.TARGETS.2.DESCRIPTION,Lograr el acceso a servicios de saneamiento e higiene que sean adecuados y equitativos.
SDGS.6.TARGETS.3.DESCRIPTION,"Mejorar la calidad del agua reduciendo la contaminación, eliminando los vertidos e incrementando los sistemas de drenaje sostenible, reciclaje, reutilización y aprovechamiento de aguas freáticas."
SDGS.6.TARGETS.4.DESCRIPTION,Aumentar significativamente el uso eficiente de los recursos hídricos en todos los sectores y garantizar la sostenibilidad de la extracción y del suministro de agua dulce.
SDGS.6.TARGETS.4.INDICATORS.1.TITLE,Consumo de agua por habitante
SDGS.6.TARGETS.4.INDICATORS.1.DESCRIPTION,Volumen de agua doméstica consumida (en m³ por habitante y año)
SDGS.6.TARGETS.4.INDICATORS.1.UNIT,m³/hab.
SDGS.6.TARGETS.4.INDICATORS.1.VALUES.1.TITLE,Consumo total de agua
SDGS.6.TARGETS.4.INDICATORS.1.VALUES.1.UNIT,m³
SDGS.6.TARGETS.4.INDICATORS.1.VALUES.2.TITLE,Población total
SDGS.6.TARGETS.4.INDICATORS.1.VALUES.2.UNIT,personas
SDGS.6.TARGETS.4.INDICATORS.1.SOURCE,- [Volumen consumido por municipio (https://aca.gencat.cat/web/.content/20_Aigua/08_consulta_de_dades/01_dades_obertes/01_visualitzacio_interactiva_dades/01_consum-aigua_comarques_catalunya/volum-aigua-consum-municipi.xlsx) (Agència Catalana de l'Aigua)
SDGS.6.TARGETS.5.DESCRIPTION,"Implementar la gestión integrada de los recursos hídricos en todos los ámbitos, si es necesario mediante la cooperación territorial."
SDGS.6.TARGETS.6.DESCRIPTION,"Proteger y restaurar los ecosistemas relacionados con el agua, incluidos bosques, montañas, humedales, ríos, acuíferos y lagos en todo el territorio con espacios de valor natural."
SDGS.6.TARGETS.b.DESCRIPTION,Impulsar y reforzar la participación de las comunidades locales en la mejora de la gestión del agua y del saneamiento.
SDGS.7.TITLE,Energía limpia y asequible
SDGS.7.DESCRIPTION,"Garantizar el acceso a una energía asequible, segura, sostenible y moderna para todas las personas."
SDGS.7.TARGETS.1.INDICATORS.1.TITLE,% Renta hogares en energía
SDGS.7.TARGETS.1.INDICATORS.1.DESCRIPTION,Coste (en porcentaje) del consumo final de energía residencial (doméstica y transporte) respecto a la Renta Familiar Disponible Bruta.
SDGS.7.TARGETS.1.INDICATORS.1.SOURCE,"Consumos de combustibles líquidos estimados a partir de datos provinciales y catalanes. Datos de RFDB a escala municipal: para municipios pequeños se utiliza el dato comarcal. Datos de movilidad a partir del parque de vehículos; no se incluye el gasto en transporte público.

- [RFDB y RFDB por habitante](https://www.idescat.cat/pub/?id=rfdbc&n=13301&hist=taules%2Fv2%2Frfdbc%2F13301%2F14148%2Fmun%2Fdata%3F_LAST_%3D7%5Ec%3D3%2Fr%3D1%2Ft%3D-3c%3B-1c%3B0d%2C6%2Fe%3D11) (IDESCAT)"
SDGS.7.TARGETS.1.INDICATORS.1.UNIT,%
SDGS.7.TARGETS.1.INDICATORS.1.VALUES.1.TITLE,Coste del consumo final de energía residencial por habitante
SDGS.7.TARGETS.1.INDICATORS.1.VALUES.1.UNIT,€
SDGS.7.TARGETS.1.INDICATORS.1.VALUES.2.TITLE,renta por habitante
SDGS.7.TARGETS.1.INDICATORS.1.VALUES.2.UNIT,€
SDGS.7.TARGETS.1.DESCRIPTION,"Garantizar el acceso universal a servicios de energía asequibles, fiables y modernos, con especial énfasis en aquellos hogares en situación de pobreza energética."
SDGS.7.TARGETS.2.DESCRIPTION,Aumentar sustancialmente la proporción de energía renovable en el conjunto de las fuentes energéticas.
SDGS.7.TARGETS.2.INDICATORS.1.TITLE,% Hogares con energía renovable
SDGS.7.TARGETS.2.INDICATORS.1.DESCRIPTION,Porcentaje de energía renovable consumida (térmica y eléctrica) sobre el total de energía consumida.
SDGS.7.TARGETS.2.INDICATORS.1.UNIT,%
SDGS.7.TARGETS.2.INDICATORS.1.VALUES.1.TITLE,Energía renovable consumida (térmica y eléctrica)
SDGS.7.TARGETS.2.INDICATORS.1.VALUES.1.UNIT,kWh
SDGS.7.TARGETS.2.INDICATORS.1.VALUES.2.TITLE,Energía total consumida
SDGS.7.TARGETS.2.INDICATORS.1.VALUES.2.UNIT,kWh
SDGS.7.TARGETS.2.INDICATORS.1.SOURCE,- [Consumos energéticos (por fuentes y por sectores)](https://gissrv.diba.cat/arcgis/rest/services/SITAC/PAES/MapServer) (Diputació de Barcelona)
SDGS.7.TARGETS.3.DESCRIPTION,Mejorar sustancialmente la eficiencia energética
SDGS.7.TARGETS.3.INDICATORS.1.TITLE,Consumo de energía en los hogares 
SDGS.7.TARGETS.3.INDICATORS.1.DESCRIPTION,"Consum final a les llars (en kWh/habitant) incloent tots els tipus d'energia. Els consums de gasoil de calefacció, biomassa, butà i propà són estimacions fetes a partir dels consums provincials o catalans."
SDGS.7.TARGETS.3.INDICATORS.1.UNIT,kWh/hab.
SDGS.7.TARGETS.3.INDICATORS.1.VALUES.1.TITLE,Consum d'energia residencial
SDGS.7.TARGETS.3.INDICATORS.1.VALUES.1.UNIT,kWh
SDGS.7.TARGETS.3.INDICATORS.1.VALUES.2.TITLE,Total población
SDGS.7.TARGETS.3.INDICATORS.1.VALUES.2.UNIT,personas
SDGS.7.TARGETS.3.INDICATORS.1.SOURCE,"- [Consumo de energía eléctrica por municipios y sectores de Catalunya
](https://analisi.transparenciacatalunya.cat/Energia/Consum-d-energia-el-ctrica-per-municipis-i-sectors/8idm-becu/about_data)(Dades Obertes de Catalunya)
- [Consumo de gas natural canalizado por municipios y sectores de Catalunya
](https://analisi.transparenciacatalunya.cat/Energia/Consum-de-gas-natural-canalitzat-per-municipis-i-s/qvqg-zag8/about_data)(Dades Obertes de Catalunya)
- [Datos históricos de población de los municipios de Catalunya](https://analisi.transparenciacatalunya.cat/Sector-P-blic/Dades-hist-riques-de-poblaci-dels-municipis-de-Cat/x5sz-niat/about_data) (Dades Obertes de Catalunya)"
SDGS.8.TITLE,Trabajo digno y crecimiento económico
SDGS.8.DESCRIPTION,"Promover el crecimiento económico sostenido, inclusivo y sostenible, el empleo pleno y productivo y el trabajo digno para todas las personas"
SDGS.8.TARGETS.1.DESCRIPTION,Nombre de hito no disponible
SDGS.8.TARGETS.2.DESCRIPTION,"Aumentar de forma generalizada la productividad económica en todo el territorio mediante la especialización, la diversificación de actividades, la innovación, la planificación estratégica y la concertación territorial."
SDGS.8.TARGETS.2.INDICATORS.1.TITLE,PIB por habitante
SDGS.8.TARGETS.2.INDICATORS.1.DESCRIPTION,El producto interior bruto a precios de mercado (PIB pm) mide el resultado final de la actividad económica de las unidades productoras en el territorio.
SDGS.8.TARGETS.2.INDICATORS.1.UNIT,€
SDGS.8.TARGETS.2.INDICATORS.1.VALUES.1.TITLE,
SDGS.8.TARGETS.2.INDICATORS.1.VALUES.1.UNIT,€
SDGS.8.TARGETS.2.INDICATORS.1.VALUES.2.TITLE,
SDGS.8.TARGETS.2.INDICATORS.1.VALUES.2.UNIT,
SDGS.8.TARGETS.2.INDICATORS.1.SOURCE,- [Producto interior bruto](https://www.idescat.cat/pub/?id=pibc&n=13830&hist=taules%2Fv2%2Fpibc%2F13830%2F14779%2Fmun%2Fdata%5Ec%3D2%2Fr%3D1%2Ft%3D-2c%3B-1c%3B0d%2C12%2Fe%3D11) (IDESCAT)
SDGS.8.TARGETS.3.DESCRIPTION,"Promover políticas orientadas al desarrollo que apoyen las actividades productivas, la creación de empleo digno, el emprendimiento y consolidación de empresas, la creatividad y la innovación."
SDGS.8.TARGETS.3.INDICATORS.1.TITLE,Tasa de empleo
SDGS.8.TARGETS.3.INDICATORS.1.DESCRIPTION,Número de afiliados residentes en un municipio respecto a la población de 16 a 64 años del municipio
SDGS.8.TARGETS.3.INDICATORS.1.UNIT,%
SDGS.8.TARGETS.3.INDICATORS.1.VALUES.1.TITLE,Número de afiliados
SDGS.8.TARGETS.3.INDICATORS.1.VALUES.1.UNIT,personas
SDGS.8.TARGETS.3.INDICATORS.1.VALUES.2.TITLE,Población entre 16 y 64 años
SDGS.8.TARGETS.3.INDICATORS.1.VALUES.2.UNIT,personas
